skewness,song,spectral_rolloff,energy,spread,centroid,zcr,genre,kurtosis
8.078202e-01,electronic_vs_classical/05 - Instant crush.mp3,1.096713e+04,1.836772e-01,3.454441e+03,3.386636e+03,3.494263e-02,electronic,-1.186119e+01
1.543597e+00,electronic_vs_classical/05 - Instant crush.mp3,2.959470e+03,2.564609e-01,2.999460e+03,2.114169e+03,2.612305e-02,electronic,-3.150829e+00
9.747443e-01,electronic_vs_classical/05 - Instant crush.mp3,8.873026e+03,2.622002e-01,3.358810e+03,3.098863e+03,3.991699e-02,electronic,-9.665855e+00
4.240624e-01,electronic_vs_classical/05 - Instant crush.mp3,1.111786e+04,2.602029e-01,3.444992e+03,3.982397e+03,6.076050e-02,electronic,-1.976313e+01
1.200757e+00,electronic_vs_classical/06 - Lose yourself to dance.mp3,8.352191e+03,2.068023e-01,2.922663e+03,2.778472e+03,6.497192e-02,electronic,-9.644238e+00
1.106090e+00,electronic_vs_classical/06 - Lose yourself to dance.mp3,9.217557e+03,2.353381e-01,3.231395e+03,2.882281e+03,7.748413e-02,electronic,-8.479452e+00
4.178891e-01,electronic_vs_classical/06 - Lose yourself to dance.mp3,1.164677e+04,3.001948e-01,3.595799e+03,4.147782e+03,1.005859e-01,electronic,-1.970810e+01
1.387242e+00,electronic_vs_classical/06 - Lose yourself to dance.mp3,3.524716e+03,1.783682e-01,3.178660e+03,2.461297e+03,2.505493e-02,electronic,-4.925595e+00
1.493622e+00,electronic_vs_classical/06 - Lose yourself to dance.mp3,5.473471e+03,2.312053e-01,2.696938e+03,2.325686e+03,7.070923e-02,electronic,-6.121619e+00
1.803084e+00,electronic_vs_classical/06 - Lose yourself to dance.mp3,3.583932e+03,2.108529e-01,2.910931e+03,2.093243e+03,3.930664e-02,electronic,-2.294623e+00
1.361467e+00,electronic_vs_classical/06 - Lose yourself to dance.mp3,6.037372e+03,2.503302e-01,2.543226e+03,2.223067e+03,8.145142e-02,electronic,-6.843007e+00
1.459436e+00,electronic_vs_classical/06 - Lose yourself to dance.mp3,4.594647e+03,1.647783e-01,2.717665e+03,2.310649e+03,5.316162e-02,electronic,-5.947676e+00
1.626038e+00,electronic_vs_classical/06 - Lose yourself to dance.mp3,4.586572e+03,1.833858e-01,2.283482e+03,1.939832e+03,4.568481e-02,electronic,-4.772428e+00
6.177619e-01,electronic_vs_classical/06 - Lose yourself to dance.mp3,1.124302e+04,4.745066e-02,3.482035e+03,3.786426e+03,1.044006e-01,electronic,-1.630008e+01
2.227038e+00,electronic_vs_classical/09 - Beyond.mp3,6.459961e+02,2.166324e-03,3.304238e+03,1.771839e+03,8.575439e-03,electronic,1.773653e+00
1.501299e+00,electronic_vs_classical/09 - Beyond.mp3,4.131683e+02,1.523997e-01,3.497664e+03,2.248351e+03,6.646729e-02,electronic,-2.592298e+00
7.471276e-01,electronic_vs_classical/09 - Beyond.mp3,1.160640e+04,1.955576e-01,3.931870e+03,3.672484e+03,5.364990e-02,electronic,-1.070803e+01
1.652779e+00,electronic_vs_classical/09 - Beyond.mp3,4.387390e+02,1.670932e-01,3.432578e+03,2.093952e+03,1.696777e-02,electronic,-1.686471e+00
6.430478e-01,electronic_vs_classical/09 - Beyond.mp3,1.011791e+04,2.086172e-01,4.070916e+03,3.852086e+03,4.675293e-02,electronic,-1.122253e+01
1.595319e+00,electronic_vs_classical/09 - Beyond.mp3,2.764325e+03,1.741381e-01,3.285417e+03,2.399052e+03,4.647827e-02,electronic,-3.584543e+00
